dataset,seed_index,implementation,compression_ratio,memory_bytes
medium,25,Conventional,1,134404
medium,25,Interned,1.06329,126404
medium,25,BudgetSym,1.61349,83300
medium,26,Conventional,1,134012
medium,26,Interned,1.06349,126012
medium,26,BudgetSym,1.63055,82188
medium,27,Conventional,1,134025
medium,27,Interned,1.06348,126025
medium,27,BudgetSym,1.61583,82945
medium,28,Conventional,1,133684
medium,28,Interned,1.06365,125684
medium,28,BudgetSym,1.63404,81812
medium,29,Conventional,1,133869
medium,29,Interned,1.06356,125869
medium,29,BudgetSym,1.62453,82405
large,0,Conventional,1,1339593
large,0,Interned,1.06351,1259593
large,0,BudgetSym,1.63987,816889
large,1,Conventional,1,1341365
large,1,Interned,1.06342,1261365
large,1,BudgetSym,1.63729,819261
large,2,Conventional,1,1338965
large,2,Interned,1.06357,1258936
large,2,BudgetSym,1.6423,815301
large,3,Conventional,1,1339411
large,3,Interned,1.06352,1259411
large,3,BudgetSym,1.63775,817835
large,4,Conventional,1,1340894
large,4,Interned,1.06345,1260894
large,4,BudgetSym,1.63569,819774
large,5,Conventional,1,1340178
large,5,Interned,1.06348,1260178
large,5,BudgetSym,1.64057,816898
large,6,Conventional,1,1339102
large,6,Interned,1.06354,1259102
large,6,BudgetSym,1.63804,817502
large,7,Conventional,1,1339433
large,7,Interned,1.06352,1259433
large,7,BudgetSym,1.64067,816393
large,8,Conventional,1,1340010
large,8,Interned,1.06349,1260010
large,8,BudgetSym,1.63844,817858
large,9,Conventional,1,1340097
large,9,Interned,1.06349,1260097
large,9,BudgetSym,1.63396,820153
large,10,Conventional,1,1341068
large,10,Interned,1.06344,1261068
large,10,BudgetSym,1.63661,819420
large,11,Conventional,1,1341438
large,11,Interned,1.06344,1261409
large,11,BudgetSym,1.63819,818854
large,12,Conventional,1,1340733
large,12,Interned,1.06346,1260733
large,12,BudgetSym,1.63922,817909
large,13,Conventional,1,1340021
large,13,Interned,1.06349,1260021
large,13,BudgetSym,1.64031,816933
large,14,Conventional,1,1339595
large,14,Interned,1.06351,1259595
large,14,BudgetSym,1.64074,816459
large,15,Conventional,1,1341011
large,15,Interned,1.06344,1261011
large,15,BudgetSym,1.63564,819867
large,16,Conventional,1,1340301
large,16,Interned,1.06348,1260301
large,16,BudgetSym,1.63855,817981
large,17,Conventional,1,1340139
large,17,Interned,1.06351,1260110
large,17,BudgetSym,1.63728,818515
large,18,Conventional,1,1339344
large,18,Interned,1.06355,1259315
large,18,BudgetSym,1.64074,816304
large,19,Conventional,1,1341275
large,19,Interned,1.06343,1261275
large,19,BudgetSym,1.63601,819845
large,20,Conventional,1,1339270
large,20,Interned,1.06353,1259270
large,20,BudgetSym,1.63878,817238
large,21,Conventional,1,1340006
large,21,Interned,1.06349,1260006
large,21,BudgetSym,1.63892,817614
large,22,Conventional,1,1340501
large,22,Interned,1.06349,1260472
large,22,BudgetSym,1.63724,818757
large,23,Conventional,1,1340687
large,23,Interned,1.06346,1260687
large,23,BudgetSym,1.63743,818775
large,24,Conventional,1,1340339
large,24,Interned,1.06347,1260339
large,24,BudgetSym,1.63645,819051
large,25,Conventional,1,1339561
large,25,Interned,1.06351,1259561
large,25,BudgetSym,1.64163,815993
large,26,Conventional,1,1340721
large,26,Interned,1.06346,1260721
large,26,BudgetSym,1.64024,817393
large,27,Conventional,1,1339812
large,27,Interned,1.06353,1259783
large,27,BudgetSym,1.63749,818212
large,28,Conventional,1,1340676
large,28,Interned,1.06346,1260676
large,28,BudgetSym,1.6371,818932
large,29,Conventional,1,1340166
large,29,Interned,1.06348,1260166
large,29,BudgetSym,1.64015,817102
high-prefix-similarity,0,Conventional,1,168400
high-prefix-similarity,0,Interned,1.04988,160400
high-prefix-similarity,0,BudgetSym,2.36783,71120
high-prefix-similarity,1,Conventional,1,168522
high-prefix-similarity,1,Interned,1.04984,160522
high-prefix-similarity,1,BudgetSym,2.37018,71101
high-prefix-similarity,2,Conventional,1,169046
high-prefix-similarity,2,Interned,1.04968,161046
high-prefix-similarity,2,BudgetSym,2.37534,71167
high-prefix-similarity,3,Conventional,1,168734
high-prefix-similarity,3,Interned,1.04977,160734
high-prefix-similarity,3,BudgetSym,2.37152,71150
high-prefix-similarity,4,Conventional,1,168778
high-prefix-similarity,4,Interned,1.04976,160778
high-prefix-similarity,4,BudgetSym,2.37241,71142
high-prefix-similarity,5,Conventional,1,168800
high-prefix-similarity,5,Interned,1.04975,160800
high-prefix-similarity,5,BudgetSym,2.37322,71127
high-prefix-similarity,6,Conventional,1,168800
high-prefix-similarity,6,Interned,1.04975,160800
high-prefix-similarity,6,BudgetSym,2.37325,71126
high-prefix-similarity,7,Conventional,1,169171
high-prefix-similarity,7,Interned,1.04964,161171
high-prefix-similarity,7,BudgetSym,2.37653,71184
high-prefix-similarity,8,Conventional,1,168400
high-prefix-similarity,8,Interned,1.04988,160400
high-prefix-similarity,8,BudgetSym,2.36896,71086
high-prefix-similarity,9,Conventional,1,168400
high-prefix-similarity,9,Interned,1.04988,160400
high-prefix-similarity,9,BudgetSym,2.3686,71097
high-prefix-similarity,10,Conventional,1,169147
high-prefix-similarity,10,Interned,1.04964,161147
high-prefix-similarity,10,BudgetSym,2.37599,71190
high-prefix-similarity,11,Conventional,1,168547
high-prefix-similarity,11,Interned,1.04983,160547
high-prefix-similarity,11,BudgetSym,2.3701,71114
high-prefix-similarity,12,Conventional,1,168800
high-prefix-similarity,12,Interned,1.04975,160800
high-prefix-similarity,12,BudgetSym,2.37332,71124
high-prefix-similarity,13,Conventional,1,168623
high-prefix-similarity,13,Interned,1.04981,160623
high-prefix-similarity,13,BudgetSym,2.37076,71126
high-prefix-similarity,14,Conventional,1,168848
high-prefix-similarity,14,Interned,1.04974,160848
high-prefix-similarity,14,BudgetSym,2.37256,71167
high-prefix-similarity,15,Conventional,1,168800
high-prefix-similarity,15,Interned,1.04975,160800
high-prefix-similarity,15,BudgetSym,2.37282,71139
high-prefix-similarity,16,Conventional,1,168663
high-prefix-similarity,16,Interned,1.04979,160663
high-prefix-similarity,16,BudgetSym,2.37189,71109
high-prefix-similarity,17,Conventional,1,168400
high-prefix-similarity,17,Interned,1.04988,160400
high-prefix-similarity,17,BudgetSym,2.36886,71089
high-prefix-similarity,18,Conventional,1,168549
high-prefix-similarity,18,Interned,1.04983,160549
high-prefix-similarity,18,BudgetSym,2.37056,71101
high-prefix-similarity,19,Conventional,1,168518
high-prefix-similarity,19,Interned,1.04984,160518
high-prefix-similarity,19,BudgetSym,2.37025,71097
high-prefix-similarity,20,Conventional,1,168658
high-prefix-similarity,20,Interned,1.0498,160658
high-prefix-similarity,20,BudgetSym,2.37072,71142
high-prefix-similarity,21,Conventional,1,168323
high-prefix-similarity,21,Interned,1.0499,160323
high-prefix-similarity,21,BudgetSym,2.36745,71099
