dataset,seed_index,implementation,compression_ratio,memory_bytes
memory-stress,20,Interned,1.05296,113284
memory-stress,20,BudgetSym,1.4489,82327
memory-stress,21,Conventional,1,119404
memory-stress,21,Interned,1.05291,113404
memory-stress,21,BudgetSym,1.44864,82425
memory-stress,22,Conventional,1,119046
memory-stress,22,Interned,1.05308,113046
memory-stress,22,BudgetSym,1.45081,82055
memory-stress,23,Conventional,1,119499
memory-stress,23,Interned,1.05286,113499
memory-stress,23,BudgetSym,1.44882,82480
memory-stress,24,Conventional,1,119519
memory-stress,24,Interned,1.05285,113519
memory-stress,24,BudgetSym,1.44833,82522
memory-stress,25,Conventional,1,119149
memory-stress,25,Interned,1.05303,113149
memory-stress,25,BudgetSym,1.44948,82201
memory-stress,26,Conventional,1,119210
memory-stress,26,Interned,1.053,113210
memory-stress,26,BudgetSym,1.4497,82231
memory-stress,27,Conventional,1,119212
memory-stress,27,Interned,1.053,113212
memory-stress,27,BudgetSym,1.4497,82232
memory-stress,28,Conventional,1,119083
memory-stress,28,Interned,1.05306,113083
memory-stress,28,BudgetSym,1.4503,82109
memory-stress,29,Conventional,1,119243
memory-stress,29,Interned,1.05298,113243
memory-stress,29,BudgetSym,1.44915,82285
