inlineMaxLen,compressMinLen,lowPressureThreshold,highPressureThreshold,hotAccessThreshold,prefixSimilarityMinShared,mean_compression_ratio,small_ratio,medium_ratio,large_ratio,high-prefix-similarity_ratio,random-identifiers_ratio,nested-scopes_ratio,hot-cold-access_ratio,memory-stress_ratio
6,6,0.4,0.85,2,5,1.48901,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.58845
6,6,0.4,0.85,2,6,1.4863,1.16008,1.13996,1.13513,2.58975,1.11395,2.01988,1.14321,1.58845
6,6,0.4,0.85,3,2,1.48984,1.16563,1.14048,1.13531,2.58975,1.11395,2.04159,1.14354,1.58845
6,6,0.4,0.85,3,3,1.48905,1.16008,1.14022,1.13513,2.58975,1.11395,2.04159,1.14321,1.58845
6,6,0.4,0.85,3,4,1.48901,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.58845
6,6,0.4,0.85,3,5,1.48901,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.58845
6,6,0.4,0.85,3,6,1.4863,1.16008,1.13996,1.13513,2.58975,1.11395,2.01988,1.14321,1.58845
6,6,0.4,0.85,4,2,1.48984,1.16563,1.14048,1.13531,2.58975,1.11395,2.04159,1.14354,1.58845
6,6,0.4,0.85,4,3,1.48905,1.16008,1.14022,1.13513,2.58975,1.11395,2.04159,1.14321,1.58845
6,6,0.4,0.85,4,4,1.48901,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.58845
6,6,0.4,0.85,4,5,1.48901,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.58845
6,6,0.4,0.85,4,6,1.4863,1.16008,1.13996,1.13513,2.58975,1.11395,2.01988,1.14321,1.58845
