model,mean_r2,mean_mae,downstream_compression_ratio,exportable_as_cpp
Baseline Mean,0.30777881310984423,0.8973148148148148,1.731620860318866,True
Lasso,0.3374875780250279,0.8306739830037672,1.7531160197718734,True
Ridge,0.40730502579329153,0.7725739615387375,1.795121196094052,True
Decision Tree,-48.98434953798354,0.42657823109227233,1.7136633735905717,False
Random Forest,-1.9170164897007373,0.43905555555555575,1.7238867692199276,False
SVR,0.4819205052384878,0.6450947085038331,1.750143465732893,False
KNN,0.6506113137914836,0.6055555555555556,1.7194174262430189,False
